District,year,Year_kharif,Area_Hec_Rice,Prod_Ton_Rice,Yield_Rice,total_agr_Area_hect,rice_area_pct
Moradabad,2015,2015 - 2016,"94,261.00","2,20,194.00",2.34,"1,55,838",0.604865309
Moradabad,2016,2016 - 2017,"92,849.00","2,13,181.00",2.3,"1,48,184",0.626579118
Moradabad,2017,2017 - 2018,"94,533.00","2,18,182.00",2.31,"1,44,582",0.653836577
Moradabad,2018,2018 - 2019,"89,451.00","2,23,985.00",2.5,"1,46,776",0.609438873
Moradabad,2019,2019 - 2020,"93,573.00","2,58,261.00",2.76,"1,53,072",0.611300564
Moradabad,2020,2020 - 2021,"98,140.00","3,16,011.00",3.22,"1,85,588",0.528805742
Moradabad,2021,2021 - 2022,"93,852.00","2,71,232.00",2.89,"2,77,372",0.338361478
Muzaffarnagar,2010,2010 - 2011,"37,128.00","82,944.00",2.23,"2,70,792",0.137108925
Muzaffarnagar,2011,2011 - 2012,"37,144.00","86,880.00",2.34,"2,70,943",0.137091565
Muzaffarnagar,2012,2012 - 2013,"14,646.00","36,644.00",2.5,"1,88,141",0.077845871
Muzaffarnagar,2013,2013 - 2014,"11,064.00","25,857.00",2.34,"1,84,927",0.059829014
Muzaffarnagar,2014,2014 - 2015,"10,667.00","25,729.00",2.41,"1,75,793",0.060679322
Muzaffarnagar,2015,2015 - 2016,"14,419.00","37,432.00",2.6,"1,82,842",0.078860437
Muzaffarnagar,2016,2016 - 2017,"11,580.00","25,777.00",2.23,"1,84,744",0.062681332
Muzaffarnagar,2017,2017 - 2018,"12,764.00","32,842.00",2.57,"1,87,009",0.0682534
Muzaffarnagar,2018,2018 - 2019,"11,286.00","24,321.00",2.15,"1,89,198",0.059651793
Muzaffarnagar,2019,2019 - 2020,"11,760.00","32,105.00",2.73,"1,89,685",0.061997522
Muzaffarnagar,2020,2020 - 2021,"13,151.00","35,836.00",2.72,"2,00,910",0.06545717
Muzaffarnagar,2021,2021 - 2022,"12,764.00","34,641.00",2.71,"2,19,427",0.058169687
Pilibhit,2010,2010 - 2011,"1,49,172.00","3,70,692.00",2.48,"2,06,970",0.720742137
Pilibhit,2011,2011 - 2012,"1,52,550.00","4,27,750.00",2.8,"2,10,250",0.725564804
Pilibhit,2012,2012 - 2013,"1,52,957.00","4,23,844.00",2.77,"2,10,194",0.727694416
Pilibhit,2013,2013 - 2014,"1,35,908.00","3,80,135.00",2.8,"2,13,232",0.637371501
Pilibhit,2014,2014 - 2015,"1,18,036.00","3,09,963.00",2.63,"2,13,608",0.5525823
Pilibhit,2015,2015 - 2016,"1,37,940.00","4,15,199.00",3.01,"2,09,939",0.657048
Pilibhit,2016,2016 - 2017,"1,43,003.00","4,47,885.00",3.13,"2,13,950",0.668394485
Pilibhit,2017,2017 - 2018,"1,31,263.00","4,30,018.00",3.28,"2,12,902",0.616541883
Pilibhit,2018,2018 - 2019,"1,35,548.00","4,18,708.00",3.09,"2,08,372",0.650509665
Pilibhit,2019,2019 - 2020,"1,39,065.00","4,71,569.00",3.39,"2,14,504",0.648309589
Pilibhit,2020,2020 - 2021,"1,39,872.00","5,09,274.00",3.64,"2,41,568",0.579017088
Pilibhit,2021,2021 - 2022,"1,36,507.00","4,60,438.00",3.37,"3,75,219",0.363806204
Pratapgarh,2010,2010 - 2011,"96,664.00","1,93,811.00",2,"1,24,978",0.773448127
Pratapgarh,2011,2011 - 2012,"97,289.00","2,25,516.00",2.32,"1,27,004",0.766030991
Pratapgarh,2012,2012 - 2013,"99,174.00","2,40,993.00",2.43,"1,29,356",0.766674913
Pratapgarh,2013,2013 - 2014,"99,245.00","2,37,791.00",2.4,"1,28,797",0.770553662
Pratapgarh,2014,2014 - 2015,"1,04,143.00","2,35,676.00",2.26,"1,31,493",0.792004137
Pratapgarh,2015,2015 - 2016,"1,24,700.00","2,24,335.00",1.8,"1,50,991",0.825877039
Pratapgarh,2016,2016 - 2017,"99,010.00","2,17,030.00",2.19,"1,27,257",0.778031857
Pratapgarh,2017,2017 - 2018,"96,357.00","2,27,788.00",2.36,"1,22,860",0.784282924
Pratapgarh,2018,2018 - 2019,"97,832.00","2,51,624.00",2.57,"1,25,972",0.776617026
Pratapgarh,2019,2019 - 2020,"94,501.00","2,41,734.00",2.56,"1,24,821",0.757092156
Pratapgarh,2020,2020 - 2021,"97,504.00","2,56,046.00",2.63,"1,25,557",0.776571597
Pratapgarh,2021,2021 - 2022,"97,831.00","2,47,121.00",2.53,"2,44,781",0.399667458
Rae Bareli,2010,2010 - 2011,"80,776.00","1,72,941.00",2.14,"1,13,972",0.708735479
Rae Bareli,2011,2011 - 2012,"83,159.00","1,88,438.00",2.27,"1,17,932",0.705143642
Rae Bareli,2012,2012 - 2013,"84,448.00","2,04,618.00",2.42,"1,16,157",0.727016021
Rae Bareli,2013,2013 - 2014,"89,513.00","2,19,665.00",2.45,"1,22,673",0.729687869
Rae Bareli,2014,2014 - 2015,"1,04,251.00","2,46,449.00",2.36,"1,37,238",0.759636544
Rae Bareli,2015,2015 - 2016,"1,16,435.00","2,47,541.00",2.13,"1,48,574",0.783683552
Rae Bareli,2016,2016 - 2017,"90,544.00","2,17,939.00",2.41,"1,24,047",0.729916886
Rae Bareli,2017,2017 - 2018,"90,875.00","2,22,462.00",2.45,"1,24,002",0.732851083
Rae Bareli,2018,2018 - 2019,"91,803.00","2,26,570.00",2.47,"1,24,094",0.739785969
Rae Bareli,2019,2019 - 2020,"88,738.00","2,30,186.00",2.59,"1,21,155",0.732433659
Rae Bareli,2020,2020 - 2021,"90,022.00","2,67,365.00",2.97,"1,21,843",0.738836043
Rae Bareli,2021,2021 - 2022,"88,614.00","2,43,689.00",2.75,"2,36,121",0.375290635
Rampur,2010,2010 - 2011,"1,40,906.00","2,67,580.00",1.9,"1,71,069",0.823679334
Rampur,2011,2011 - 2012,"1,40,595.00","3,06,075.00",2.18,"1,72,673",0.814226891
Rampur,2012,2012 - 2013,"1,33,026.00","3,02,368.00",2.27,"1,67,597",0.793725425
Rampur,2013,2013 - 2014,"1,36,970.00","3,06,950.00",2.24,"1,70,039",0.805521086
Rampur,2014,2014 - 2015,"1,24,076.00","2,80,412.00",2.26,"1,61,185",0.769773862
Rampur,2015,2015 - 2016,"1,22,711.00","2,77,327.00",2.26,"1,54,835",0.792527529
Rampur,2016,2016 - 2017,"1,42,788.00","3,48,403.00",2.44,"1,69,665",0.841587835
Rampur,2017,2017 - 2018,"1,32,738.00","3,14,456.00",2.37,"1,63,102",0.813834288
Rampur,2018,2018 - 2019,"1,32,764.00","3,63,906.00",2.74,"1,70,956",0.776597487
Rampur,2019,2019 - 2020,"1,42,284.00","4,09,067.00",2.88,"1,70,067",0.836634973
Rampur,2020,2020 - 2021,"1,40,933.00","4,48,731.00",3.18,"1,92,424",0.732408639
Rampur,2021,2021 - 2022,"1,43,312.00","4,03,423.00",2.81,"3,45,476",0.414824764
Saharanpur,2010,2010 - 2011,"54,830.00","1,20,023.00",2.19,"2,09,103",0.262215272
Saharanpur,2011,2011 - 2012,"52,344.00","1,19,920.00",2.29,"2,04,101",0.256461262
Saharanpur,2012,2012 - 2013,"54,042.00","1,41,428.00",2.62,"2,03,357",0.265749396
Saharanpur,2013,2013 - 2014,"57,786.00","1,41,345.00",2.45,"2,06,374",0.280006202
Saharanpur,2014,2014 - 2015,"62,552.00","1,55,629.00",2.49,"1,99,201",0.314014488
Saharanpur,2015,2015 - 2016,"72,546.00","1,65,623.00",2.28,"1,95,567",0.370952155
Saharanpur,2016,2016 - 2017,"57,538.00","1,42,176.00",2.47,"2,07,672",0.277061905
Saharanpur,2017,2017 - 2018,"57,090.00","1,52,659.00",2.67,"2,12,205",0.269032304
Saharanpur,2018,2018 - 2019,"58,734.00","1,48,068.00",2.52,"2,07,206",0.283457043
Saharanpur,2019,2019 - 2020,"59,700.00","1,61,369.00",2.7,"2,05,117",0.291053399
Saharanpur,2020,2020 - 2021,"58,334.00","1,65,785.00",2.84,"1,83,606",0.317712929
Saharanpur,2021,2021 - 2022,"58,046.00","1,60,904.00",2.77,"2,62,220",0.22136374
Sambhal,2012,2012 - 2013,"35,823.00","86,262.00",2.41,"1,58,245",0.226376821
Sambhal,2013,2013 - 2014,"40,134.00","92,388.00",2.3,"1,61,723",0.248165072
Sambhal,2014,2014 - 2015,"35,060.00","76,746.00",2.19,"1,59,292",0.220098938
Sambhal,2015,2015 - 2016,"34,112.00","78,492.00",2.3,"1,56,520",0.217940199
Sambhal,2016,2016 - 2017,"37,130.00","83,283.00",2.24,"1,52,450",0.243555264
Sambhal,2017,2017 - 2018,"37,703.00","97,462.00",2.58,"1,59,716",0.236062761
Sambhal,2018,2018 - 2019,"38,227.00","98,052.00",2.56,"1,59,390",0.239833114
Sambhal,2019,2019 - 2020,"39,632.00","1,07,759.00",2.72,"1,59,934",0.247802218
Sambhal,2020,2020 - 2021,"43,628.00","1,29,183.00",2.96,"2,08,884",0.208862335
Sambhal,2021,2021 - 2022,"39,924.00","1,08,394.00",2.72,"3,35,150",0.119122781
Sant Kabir Nagar,2010,2010 - 2011,"90,035.00","1,73,768.00",1.93,"99,732",0.902769422
Sant Kabir Nagar,2011,2011 - 2012,"90,665.00","1,90,578.00",2.1,"1,00,739",0.899999007
Sant Kabir Nagar,2012,2012 - 2013,"87,731.00","2,00,202.00",2.28,"98,714",0.888739186
Sant Kabir Nagar,2013,2013 - 2014,"89,987.00","2,08,230.00",2.31,"99,200",0.907127016
Sant Kabir Nagar,2014,2014 - 2015,"90,918.00","1,62,561.00",1.79,"1,00,404",0.905521692
Sant Kabir Nagar,2015,2015 - 2016,"79,542.00","1,39,596.00",1.75,"88,377",0.900030551
Sant Kabir Nagar,2016,2016 - 2017,"97,780.00","2,02,405.00",2.07,"1,07,538",0.909259983
Sant Kabir Nagar,2017,2017 - 2018,"91,911.00","1,93,565.00",2.11,"1,02,022",0.900893925
Sant Kabir Nagar,2018,2018 - 2019,"92,487.00","2,04,581.00",2.21,"1,01,529",0.910941701
Sant Kabir Nagar,2019,2019 - 2020,"90,619.00","2,84,816.00",3.14,"1,00,686",0.900015891
Sant Kabir Nagar,2020,2020 - 2021,"91,435.00","2,73,848.00",3,"97,472",0.938064265
Sant Kabir Nagar,2021,2021 - 2022,"91,502.00","2,71,761.00",2.97,"1,92,238",0.475982896
Sant Ravidas Nagar,2010,2010 - 2011,"22,116.00","44,918.00",2.03,"39,331",0.562304543
Sant Ravidas Nagar,2011,2011 - 2012,"27,635.00","67,098.00",2.43,"44,190",0.62536773
Sant Ravidas Nagar,2012,2012 - 2013,"23,422.00","59,750.00",2.55,"40,250",0.581913043
Sant Ravidas Nagar,2013,2013 - 2014,"27,721.00","70,938.00",2.56,"45,106",0.614574558
Sant Ravidas Nagar,2014,2014 - 2015,"27,981.00","61,950.00",2.21,"48,482",0.577142032
Sant Ravidas Nagar,2015,2015 - 2016,"28,180.00","58,502.00",2.08,"45,721",0.616346974
Sant Ravidas Nagar,2016,2016 - 2017,"30,104.00","83,960.00",2.79,"46,576",0.646341463
Sant Ravidas Nagar,2017,2017 - 2018,"28,105.00","89,430.00",3.18,"44,225",0.635500283
Sant Ravidas Nagar,2018,2018 - 2019,"28,888.00","90,188.00",3.12,"43,108",0.670130834
Sant Ravidas Nagar,2019,2019 - 2020,"27,050.00","83,179.00",3.08,"44,132",0.612933925
Sant Ravidas Nagar,2020,2020 - 2021,"27,549.00","83,942.00",3.05,"42,906",0.642078031
Sant Ravidas Nagar,2021,2021 - 2022,"27,397.00","84,081.00",3.07,"80,553",0.340111479
Shahjahanpur,2010,2010 - 2011,"2,11,075.00","4,30,171.00",2.04,"2,87,339",0.734585281
Shahjahanpur,2011,2011 - 2012,"1,91,093.00","5,00,281.00",2.62,"2,63,415",0.725444641
Shahjahanpur,2012,2012 - 2013,"2,15,646.00","5,79,441.00",2.69,"2,90,007",0.743588948
Shahjahanpur,2013,2013 - 2014,"1,98,105.00","5,31,714.00",2.68,"2,66,385",0.743679261
Shahjahanpur,2014,2014 - 2015,"2,03,946.00","5,72,069.00",2.81,"2,73,616",0.745373078
Shahjahanpur,2015,2015 - 2016,"1,50,292.00","4,73,270.00",3.15,"2,37,169",0.633691587
Shahjahanpur,2016,2016 - 2017,"2,05,666.00","6,11,651.00",2.97,"2,75,943",0.745320592
Shahjahanpur,2017,2017 - 2018,"2,04,931.00","6,67,870.00",3.26,"2,84,426",0.720507267
Shahjahanpur,2018,2018 - 2019,"1,84,441.00","5,73,427.00",3.11,"2,51,308",0.733924109
Shahjahanpur,2019,2019 - 2020,"2,09,521.00","7,40,657.00",3.54,"2,75,692",0.759982154
Shahjahanpur,2020,2020 - 2021,"2,04,346.00","7,82,441.00",3.83,"3,28,921",0.62126164
Shahjahanpur,2021,2021 - 2022,"2,06,540.00","6,82,202.00",3.3,"5,70,063",0.362310832
Samli,2012,2012 - 2013,"20,766.00","53,639.00",2.58,"87,139",0.238308909
Samli,2013,2013 - 2014,"19,778.00","52,234.00",2.64,"86,224",0.229379291
Samli,2014,2014 - 2015,"22,666.00","59,952.00",2.65,"86,211",0.262913085
Samli,2015,2015 - 2016,"19,078.00","47,657.00",2.5,"78,576",0.242796783
Samli,2016,2016 - 2017,"20,441.00","57,623.00",2.82,"84,624",0.24155086
Samli,2017,2017 - 2018,"20,105.00","60,295.00",3,"86,388",0.232729083
Samli,2018,2018 - 2019,"20,271.00","53,860.00",2.66,"86,273",0.23496343
Samli,2019,2019 - 2020,"20,815.00","71,062.00",3.41,"85,722",0.242819813
Samli,2020,2020 - 2021,"21,015.00","64,831.00",3.08,"89,217",0.235549279
Samli,2021,2021 - 2022,"20,766.00","60,429.00",2.91,"1,12,162",0.185142918
Shrawasti,2010,2010 - 2011,"71,137.00","1,35,658.00",1.91,"97,968",0.726124857
Shrawasti,2011,2011 - 2012,"74,974.00","1,39,452.00",1.86,"1,02,582",0.730868963
Shrawasti,2012,2012 - 2013,"73,500.00","1,63,832.00",2.23,"98,745",0.744341486
Shrawasti,2013,2013 - 2014,"75,337.00","1,55,119.00",2.06,"1,05,627",0.713236199
Shrawasti,2014,2014 - 2015,"79,949.00","1,73,889.00",2.17,"1,00,321",0.796931849
Shrawasti,2015,2015 - 2016,"72,532.00","1,41,437.00",1.95,"87,904",0.825127412
Shrawasti,2016,2016 - 2017,"72,247.00","1,88,854.00",2.61,"96,533",0.74841764
Shrawasti,2017,2017 - 2018,"75,183.00","1,93,596.00",2.57,"97,459",0.771432089
Shrawasti,2018,2018 - 2019,"78,797.00","1,99,908.00",2.54,"1,01,316",0.777735007
Shrawasti,2019,2019 - 2020,"77,399.00","1,88,080.00",2.43,"1,04,080",0.743649116
Shrawasti,2020,2020 - 2021,"74,772.00","1,96,277.00",2.63,"88,204",0.847716657
Shrawasti,2021,2021 - 2022,"75,066.00","1,46,154.00",1.95,"1,80,110",0.416778635
Siddharthnagar,2010,2010 - 2011,"1,75,157.00","4,15,297.00",2.37,"1,80,339",0.971265228
Siddharthnagar,2011,2011 - 2012,"1,69,824.00","4,35,429.00",2.56,"1,75,064",0.970068089
Siddharthnagar,2012,2012 - 2013,"1,60,991.00","4,11,332.00",2.55,"1,66,273",0.968232966
Siddharthnagar,2013,2013 - 2014,"1,73,903.00","4,77,016.00",2.74,"1,79,023",0.971400323
Siddharthnagar,2014,2014 - 2015,"1,70,404.00","4,14,082.00",2.43,"1,75,754",0.969559726
Siddharthnagar,2015,2015 - 2016,"1,84,234.00","4,16,737.00",2.26,"1,89,750",0.970930171
Siddharthnagar,2016,2016 - 2017,"1,73,507.00","4,03,751.00",2.33,"1,79,176",0.968360718
Siddharthnagar,2017,2017 - 2018,"1,73,507.00","4,49,210.00",2.59,"1,78,473",0.972175063
Siddharthnagar,2018,2018 - 2019,"1,74,713.00","5,51,045.00",3.15,"1,80,637",0.967204947
Siddharthnagar,2019,2019 - 2020,"1,72,254.00","4,92,302.00",2.86,"1,77,103",0.972620453
Siddharthnagar,2020,2020 - 2021,"1,73,507.00","4,95,015.00",2.85,"1,77,136",0.979512917
Siddharthnagar,2021,2021 - 2022,"1,73,497.00","4,55,950.00",2.63,"3,50,894",0.494442766
Sitapur,2010,2010 - 2011,"1,56,947.00","3,10,441.00",1.98,"3,22,363",0.486864187
Sitapur,2011,2011 - 2012,"1,55,655.00","3,46,177.00",2.22,"3,25,572",0.478097011
Sitapur,2012,2012 - 2013,"1,62,205.00","3,88,481.00",2.4,"3,41,744",0.474638911
Sitapur,2013,2013 - 2014,"1,69,741.00","4,13,998.00",2.44,"3,58,376",0.473639418
Sitapur,2014,2014 - 2015,"1,64,128.00","3,82,911.00",2.33,"3,49,509",0.469595919
Sitapur,2015,2015 - 2016,"1,60,459.00","3,46,271.00",2.16,"3,46,025",0.463720829
Sitapur,2016,2016 - 2017,"1,67,913.00","3,91,237.00",2.33,"3,61,484",0.464510186
Sitapur,2017,2017 - 2018,"1,63,813.00","3,83,978.00",2.34,"3,60,584",0.454299137
Sitapur,2018,2018 - 2019,"1,58,977.00","3,92,832.00",2.47,"3,51,799",0.451897248
Sitapur,2019,2019 - 2020,"1,59,960.00","4,68,043.00",2.93,"3,56,173",0.449107597
Sitapur,2020,2020 - 2021,"1,66,882.00","4,74,279.00",2.84,"3,90,854",0.426967615
Sitapur,2021,2021 - 2022,"1,64,645.00","4,37,132.00",2.65,"6,01,273",0.273827363
Sonbhadra,2010,2010 - 2011,"27,442.00","42,014.00",1.53,"69,057",0.397381873
Sonbhadra,2011,2011 - 2012,"32,987.00","67,260.00",2.04,"78,616",0.41959652
Sonbhadra,2012,2012 - 2013,"35,344.00","73,586.00",2.08,"84,524",0.418153424
Sonbhadra,2013,2013 - 2014,"30,842.00","66,680.00",2.16,"72,661",0.424464293
Sonbhadra,2014,2014 - 2015,"29,426.00","52,290.00",1.78,"72,796",0.404225507
Sonbhadra,2015,2015 - 2016,"42,653.00","63,425.00",1.49,"88,282",0.483144922
Sonbhadra,2016,2016 - 2017,"32,582.00","84,583.00",2.6,"77,312",0.421435224
Sonbhadra,2017,2017 - 2018,"38,874.00","1,05,698.00",2.72,"81,159",0.478985695
Sonbhadra,2018,2018 - 2019,"32,700.00","94,307.00",2.88,"74,205",0.440671114
Sonbhadra,2019,2019 - 2020,"29,917.00","87,178.00",2.91,"75,215",0.397753108
Sonbhadra,2020,2020 - 2021,"33,788.00","99,472.00",2.94,"80,082",0.421917535
Sonbhadra,2021,2021 - 2022,"31,903.00","99,697.00",3.13,"1,36,734",0.233321632
Sultanpur,2010,2010 - 2011,"90,048.00","2,16,836.00",2.41,"1,22,448",0.735397883
Sultanpur,2011,2011 - 2012,"93,636.00","2,27,161.00",2.43,"1,21,389",0.771371376
Sultanpur,2012,2012 - 2013,"93,861.00","2,36,060.00",2.51,"1,21,371",0.773339595
Sultanpur,2013,2013 - 2014,"93,449.00","2,27,735.00",2.44,"1,22,053",0.765642795
Sultanpur,2014,2014 - 2015,"85,103.00","1,51,568.00",1.78,"1,14,292",0.744610296
Sultanpur,2015,2015 - 2016,"99,552.00","2,06,770.00",2.08,"1,30,120",0.765078389
Sultanpur,2016,2016 - 2017,"96,002.00","2,22,629.00",2.32,"1,23,117",0.77976234
Sultanpur,2017,2017 - 2018,"95,969.00","3,06,621.00",3.2,"1,22,433",0.783849126
Sultanpur,2018,2018 - 2019,"94,804.00","3,34,753.00",3.53,"1,15,918",0.817854
Sultanpur,2019,2019 - 2020,"91,730.00","2,86,198.00",3.12,"1,19,119",0.770070266
Sultanpur,2020,2020 - 2021,"92,290.00","2,75,763.00",2.99,"1,11,948",0.824400615
Sultanpur,2021,2021 - 2022,"94,016.00","2,74,997.00",2.93,"2,20,339",0.426687967
Unnao,2010,2010 - 2011,"81,000.00","1,38,186.00",1.71,"1,63,595",0.495125157
Unnao,2011,2011 - 2012,"96,881.00","1,73,708.00",1.79,"1,84,159",0.526072579
Unnao,2012,2012 - 2013,"98,269.00","1,92,804.00",1.96,"1,80,295",0.54504562
Unnao,2013,2013 - 2014,"1,02,455.00","2,18,229.00",2.13,"1,82,919",0.560111306
Unnao,2014,2014 - 2015,"96,435.00","1,61,818.00",1.68,"1,69,400",0.569273908
Unnao,2015,2015 - 2016,"87,261.00","1,38,221.00",1.58,"1,72,554",0.505702563
Unnao,2016,2016 - 2017,"99,887.00","1,93,981.00",1.94,"1,83,251",0.545082974
Unnao,2017,2017 - 2018,"94,990.00","1,99,194.00",2.1,"1,75,293",0.541892717
Unnao,2018,2018 - 2019,"1,02,500.00","1,87,473.00",1.83,"1,90,500",0.538057743
Unnao,2019,2019 - 2020,"96,540.00","2,54,286.00",2.63,"1,81,075",0.533149248
Unnao,2020,2020 - 2021,"99,011.00","2,31,686.00",2.34,"1,78,718",0.554006871
Unnao,2021,2021 - 2022,"96,337.00","2,04,716.00",2.12,"3,54,711",0.271592931
Varanasi,2010,2010 - 2011,"42,021.00","84,882.00",2.02,"65,084",0.645642554
Varanasi,2011,2011 - 2012,"50,950.00","1,12,854.00",2.21,"72,836",0.699516722
Varanasi,2012,2012 - 2013,"42,757.00","1,03,814.00",2.43,"65,284",0.654938423
Varanasi,2013,2013 - 2014,"46,938.00","1,00,964.00",2.15,"70,075",0.669825187
Varanasi,2014,2014 - 2015,"43,862.00","1,01,848.00",2.32,"65,828",0.666312208
Varanasi,2015,2015 - 2016,"45,770.00","94,240.00",2.06,"67,670",0.676370622
Varanasi,2016,2016 - 2017,"50,288.00","1,23,457.00",2.45,"72,355",0.695017621
Varanasi,2017,2017 - 2018,"51,719.00","1,31,832.00",2.55,"74,299",0.696092814
Varanasi,2018,2018 - 2019,"48,013.00","1,21,425.00",2.53,"70,172",0.684218777
Varanasi,2019,2019 - 2020,"47,540.00","1,26,266.00",2.66,"69,843",0.680669502
Varanasi,2020,2020 - 2021,"50,974.00","1,34,011.00",2.63,"69,522",0.733206755
Varanasi,2021,2021 - 2022,"47,967.00","1,31,478.00",2.74,"1,30,729",0.366919352
